"","mar_taxa_name","mar_match_key","afcd_match_species","afcd_match_genus","afcd_match_family","afcd_match_order","afcd_match_class","afcd_match_phylum","missing","tonnes"
"1","marine fishes not identified",NA,NA,NA,NA,NA,NA,NA,1,702209772.8
"2","engraulis ringens","engraulis ringens","engraulis ringens","engraulis",NA,NA,NA,NA,0,417693213.3
"3","theragra chalcogramma","theragra chalcogramma","theragra chalcogramma","theragra",NA,NA,NA,NA,0,301915378.2
"4","sardinops sagax","sardinops sagax","sardinops sagax","sardinops",NA,NA,NA,NA,0,238090690.7
"5","gadus morhua","gadus morhua","gadus morhua","gadus",NA,NA,NA,NA,0,152665673.8
"6","clupea harengus","clupea harengus","clupea harengus","clupea",NA,NA,NA,NA,0,136429105.1
"7","marine finfishes not identified",NA,NA,NA,NA,NA,NA,NA,1,76870363.33
"8","carangidae","carangidae",NA,NA,"carangidae",NA,NA,NA,0,76476387.35
"9","marine pelagic fishes not identified",NA,NA,NA,NA,NA,NA,NA,1,75549562.32
"10","mallotus villosus","mallotus villosus","mallotus villosus","mallotus",NA,NA,NA,NA,0,72058735.15
"11","sardina pilchardus","sardina pilchardus","sardina pilchardus","sardina",NA,NA,NA,NA,0,68824395.06
"12","trachurus murphyi","trachurus murphyi","trachurus murphyi","trachurus",NA,NA,NA,NA,0,66608870.74
"13","nemipteridae","nemipteridae",NA,NA,"nemipteridae",NA,NA,NA,0,60759658.95
"14","sardinella","sardinella",NA,"sardinella",NA,NA,NA,NA,0,60532716.43
"15","trichiurus lepturus","trichiurus lepturus","trichiurus lepturus","trichiurus",NA,NA,NA,NA,0,59126985.91
"16","sebastes","sebastes","sebastes","sebastes",NA,NA,NA,NA,0,51756233.13
"17","leiognathidae","leiognathidae",NA,NA,"leiognathidae",NA,NA,NA,0,51357820.9
"18","engraulis japonicus","engraulis japonicus","engraulis japonicus","engraulis",NA,NA,NA,NA,0,49892538.19
"19","katsuwonus pelamis","katsuwonus pelamis","katsuwonus pelamis","katsuwonus",NA,NA,NA,NA,0,49473212.56
"20","sciaenidae","sciaenidae",NA,NA,"sciaenidae",NA,NA,NA,0,48012245.89
"21","scyphozoa","scyphozoa",NA,NA,NA,NA,"scyphozoa",NA,0,47841498.59
"22","scomber japonicus","scomber japonicus","scomber japonicus","scomber",NA,NA,NA,NA,0,47670573.5
"23","melanogrammus aeglefinus","melanogrammus aeglefinus","melanogrammus aeglefinus","melanogrammus",NA,NA,NA,NA,0,47314896.85
"24","engraulis encrasicolus","engraulis encrasicolus","engraulis encrasicolus","engraulis",NA,NA,NA,NA,0,46979047.75
"25","scomber","scomber",NA,"scomber",NA,NA,NA,NA,0,45186997.79
"26","todarodes pacificus","todarodes pacificus","todarodes pacificus","todarodes",NA,NA,NA,NA,0,44575423.96
"27","scomber scombrus","scomber scombrus","scomber scombrus","scomber",NA,NA,NA,NA,0,40877119.19
"28","clupea pallasii pallasii","clupea pallasii","clupea pallasii","clupea",NA,NA,NA,NA,0,40478243.09
"29","rastrelliger kanagurta","rastrelliger kanagurta","rastrelliger kanagurta","rastrelliger",NA,NA,NA,NA,0,39980381.24
"30","mollusca","mollusca",NA,NA,NA,NA,"mollusca","mollusca",0,37852922.05
"31","micromesistius poutassou","micromesistius poutassou","micromesistius poutassou","micromesistius",NA,NA,NA,NA,0,37354125.63
"32","merluccius","merluccius",NA,"merluccius",NA,NA,NA,NA,0,36857288.22
"33","brevoortia patronus","brevoortia",NA,"brevoortia",NA,NA,NA,NA,0,35687525.43
"34","miscellaneous marine crustaceans",NA,NA,NA,NA,NA,NA,NA,1,33879523.36
"35","thunnus albacares","thunnus albacares","thunnus albacares","thunnus",NA,NA,NA,NA,0,32927532.62
"36","cololabis saira","cololabis saira","cololabis saira","cololabis",NA,NA,NA,NA,0,31907916.3
"37","penaeidae","penaeidae","penaeidae",NA,"penaeidae",NA,NA,NA,0,30423109.17
"38","sprattus sprattus","sprattus",NA,"sprattus",NA,NA,NA,NA,0,29391236.98
"39","miscellaneous aquatic invertebrates",NA,NA,NA,NA,NA,NA,NA,1,29195602.52
"40","synodontidae","synodontidae",NA,NA,"synodontidae",NA,NA,NA,0,28498420.19
"41","merluccius hubbsi","merluccius hubbsi","merluccius hubbsi","merluccius",NA,NA,NA,NA,0,27966651.89
"42","pollachius virens","pollachius virens","pollachius virens","pollachius",NA,NA,NA,NA,0,26392459.32
"43","oncorhynchus gorbuscha","oncorhynchus gorbuscha","oncorhynchus gorbuscha","oncorhynchus",NA,NA,NA,NA,0,24150537.16
"44","gadus macrocephalus","gadus macrocephalus","gadus macrocephalus","gadus",NA,NA,NA,NA,0,23727336.35
"45","clupeidae","clupeidae",NA,NA,"clupeidae",NA,NA,NA,0,23699492.58
"46","trachurus","trachurus",NA,"trachurus",NA,NA,NA,NA,0,23428358.88
"47","brevoortia tyrannus","brevoortia",NA,"brevoortia",NA,NA,NA,NA,0,23297010.99
"48","scombridae","scombridae",NA,NA,"scombridae",NA,NA,NA,0,22158155.4
"49","crassostrea virginica","crassostrea virginica","crassostrea virginica","crassostrea",NA,NA,NA,NA,0,21767764.98
"50","trachurus capensis","trachurus",NA,"trachurus",NA,NA,NA,NA,0,21226178.85
"51","sardinella longiceps","sardinella longiceps","sardinella longiceps","sardinella",NA,NA,NA,NA,0,20404512.78
"52","bivalvia","bivalvia",NA,NA,NA,NA,"bivalvia",NA,0,20108635.75
"53","engraulis capensis","engraulis",NA,"engraulis",NA,NA,NA,NA,0,20095400.72
"54","pleuronectidae","pleuronectidae",NA,NA,"pleuronectidae",NA,NA,NA,0,19709330.42
"55","placopecten magellanicus",NA,NA,NA,NA,NA,NA,NA,1,18460080.24
"56","illex argentinus","illex argentinus","illex argentinus","illex",NA,NA,NA,NA,0,18447706.45
"57","trachurus japonicus","trachurus japonicus","trachurus japonicus","trachurus",NA,NA,NA,NA,0,17977349.51
"58","sardinella aurita","sardinella aurita","sardinella aurita","sardinella",NA,NA,NA,NA,0,17918173.36
"59","elasmobranchii",NA,NA,NA,NA,NA,NA,NA,1,17842843.91
"60","sparidae","sparidae",NA,NA,"sparidae",NA,NA,NA,0,17634635.15
"61","acetes japonicus","acetes japonicus","acetes japonicus","acetes",NA,NA,NA,NA,0,17409454.86
"62","scomberomorus","scomberomorus",NA,"scomberomorus",NA,NA,NA,NA,0,17208097.56
"63","ariidae","ariidae",NA,NA,"ariidae",NA,NA,NA,0,16546344.34
"64","perciformes","perciformes",NA,NA,NA,"perciformes",NA,NA,0,16358447.04
"65","nemipterus","nemipterus",NA,"nemipterus",NA,NA,NA,NA,0,16339233.95
"66","merluccius merluccius","merluccius",NA,"merluccius",NA,NA,NA,NA,0,16225825.19
"67","ethmalosa fimbriata","ethmalosa fimbriata","ethmalosa fimbriata","ethmalosa",NA,NA,NA,NA,0,16206346.03
"68","oncorhynchus","oncorhyncus","oncorhyncus","oncorhynchus",NA,NA,NA,NA,0,15768984.22
"69","hippoglossoides platessoides","hippoglossoides platessoides","hippoglossoides platessoides","hippoglossoides",NA,NA,NA,NA,0,15550552.11
"70","decapterus","decapterus",NA,"decapterus",NA,NA,NA,NA,0,14901834.77
"71","dosidicus gigas","dosidicus gigas","dosidicus gigas","dosidicus",NA,NA,NA,NA,0,14896511.88
"72","teuthida","teuthida",NA,NA,NA,"teuthida",NA,NA,0,14553123.32
"73","trachurus trachurus","trachurus",NA,"trachurus",NA,NA,NA,NA,0,14474180.69
"74","merlangius merlangus","merlangius merlangus","merlangius merlangus","merlangius",NA,NA,NA,NA,0,14188347.2
"75","pectinidae","pectinidae",NA,NA,"pectinidae",NA,NA,NA,0,13949392.05
"76","cephalopoda","cephalopoda",NA,NA,NA,NA,"cephalopoda",NA,0,13876710.83
"77","pleuronectiformes","pleuronectiformes",NA,NA,NA,"pleuronectiformes",NA,NA,0,13866549.3
"78","clupea bentincki","clupea bentincki","clupea bentincki","clupea",NA,NA,NA,NA,0,13613797.62
"79","engraulidae","engraulidae",NA,NA,"engraulidae",NA,NA,NA,0,13444913.35
"80","pleuronectes platessa","pleuronectes platessa","pleuronectes platessa","pleuronectes",NA,NA,NA,NA,0,13169202.6
"81","trisopterus esmarkii","trisopterus",NA,"trisopterus",NA,NA,NA,NA,0,12914413.68
"82","selaroides leptolepis","selaroides leptolepis","selaroides leptolepis","selaroides",NA,NA,NA,NA,0,12716279.94
"83","mugilidae","mugilidae",NA,NA,"mugilidae",NA,NA,NA,0,12651183.76
"84","stolephorus","stolephorus",NA,"stolephorus",NA,NA,NA,NA,0,12627564.78
"85","dendrobranchiata",NA,NA,NA,NA,NA,NA,NA,1,11950793.11
"86","loliginidae","loliginidae",NA,NA,"loliginidae",NA,NA,NA,0,11720423.06
"87","decapoda","decapoda",NA,NA,NA,"decapoda",NA,NA,0,11504406.64
"88","octopoda","octopoda",NA,NA,NA,"octopoda",NA,NA,0,11375712.34
"89","merluccius productus","merluccius productus","merluccius productus","merluccius",NA,NA,NA,NA,0,11310460.61
"90","harpadon nehereus","harpadon nehereus","harpadon nehereus","harpadon",NA,NA,NA,NA,0,11262404.61
"91","portunus pelagicus","portunus pelagicus","portunus pelagicus","portunus",NA,NA,NA,NA,0,11150362.99
"92","rastrelliger","rastrelliger",NA,"rastrelliger",NA,NA,NA,NA,0,11071537.7
"93","pleurogrammus azonus","pleurogrammus azonus","pleurogrammus azonus","pleurogrammus",NA,NA,NA,NA,0,10707164.25
"94","sepiidae","sepiidae",NA,NA,"sepiidae","sepiida",NA,NA,0,10371987.25
"95","ammodytes personatus","ammodytes personatus","ammodytes personatus","ammodytes",NA,NA,NA,NA,0,9928984.667
"96","clupeiformes","clupeiformes",NA,NA,NA,"clupeiformes",NA,NA,0,9903645.981
"97","scomberomorus commerson","scomberomorus commerson","scomberomorus commerson","scomberomorus",NA,NA,NA,NA,0,9871256.355
"98","rastrelliger brachysoma","rastrelliger brachysoma","rastrelliger brachysoma","rastrelliger",NA,NA,NA,NA,0,9545490.412
"99","decapterus russelli","decapterus",NA,"decapterus",NA,NA,NA,NA,0,9487217.037
"100","micropogonias undulatus","micropogonias undulatus","micropogonias undulatus","micropogonias",NA,NA,NA,NA,0,9208389.333
"101","pandalus borealis","pandalus borealis","pandalus borealis","pandalus",NA,NA,NA,NA,0,9082027.145
"102","larimichthys polyactis","larimichthys polyactis","larimichthys polyactis","larimichthys",NA,NA,NA,NA,0,9059846.015
"103","lutjanidae","lutjanidae",NA,NA,"lutjanidae",NA,NA,NA,0,8993395.752
"104","decapterus macrosoma","decapterus macrosoma","decapterus macrosoma","decapterus",NA,NA,NA,NA,0,8958758.252
"105","spisula solidissima","spisula solidissima","spisula solidissima","spisula",NA,NA,NA,NA,0,8835699.558
"106","monacanthidae","monacanthidae",NA,NA,"monacanthidae",NA,NA,NA,0,8755172.826
"107","auxis","auxis",NA,"auxis",NA,NA,NA,NA,0,8721984.258
"108","portunus trituberculatus","portunus trituberculatus","portunus trituberculatus","portunus",NA,NA,NA,NA,0,8682615.212
"109","trichiuridae","trichiuridae",NA,NA,"trichiuridae",NA,NA,NA,0,8589985.635
"110","trachurus trecae","trachurus trecae","trachurus trecae","trachurus",NA,NA,NA,NA,0,8580966.953
"111","tenualosa ilisha","tenualosa ilisha","tenualosa ilisha","tenualosa",NA,NA,NA,NA,0,8533896.686
"112","oncorhynchus keta","oncorhynchus keta","oncorhynchus keta","oncorhynchus",NA,NA,NA,NA,0,8533661.915
"113","oncorhynchus nerka","oncorhynchus nerka","oncorhynchus nerka","oncorhynchus",NA,NA,NA,NA,0,8422125.404
"114","platycephalidae","platycephalidae",NA,NA,"platycephalidae",NA,NA,NA,0,8415655.205
"115","priacanthus","priacanthus",NA,"priacanthus",NA,NA,NA,NA,0,8395342.325
"116","merluccius gayi gayi","merluccius gayi","merluccius gayi","merluccius",NA,NA,NA,NA,0,8171246.868
"117","haemulidae","haemulidae",NA,NA,"haemulidae",NA,NA,NA,0,8133572.959
"118","polynemidae","polynemidae",NA,NA,"polynemidae",NA,NA,NA,0,8003238.059
"119","muraenesox cinereus","muraenesox cinereus","muraenesox cinereus","muraenesox",NA,NA,NA,NA,0,7968831.585
"120","thunnus obesus","thunnus obesus","thunnus obesus","thunnus",NA,NA,NA,NA,0,7767083.181
"121","sepiida","sepia",NA,"sepia","sepiidae","sepiida",NA,NA,0,7691102.327
"122","pampus","pampus",NA,"pampus",NA,NA,NA,NA,0,7584288.318
"123","reinhardtius hippoglossoides","reinhardtius hippoglossoides","reinhardtius hippoglossoides","reinhardtius",NA,NA,NA,NA,0,7557762.945
"124","thunnus alalunga","thunnus alalunga","thunnus alalunga","thunnus",NA,NA,NA,NA,0,7455717.107
"125","macruronus novaezelandiae","macruronus novaezelandiae","macruronus novaezelandiae","macruronus",NA,NA,NA,NA,0,7398410.955
"126","netuma thalassina",NA,NA,NA,NA,NA,NA,NA,1,7320677.163
"127","trachysalambria curvirostris","trachysalambria curvirostris","trachysalambria curvirostris","trachysalambria",NA,NA,NA,NA,0,7198343.877
"128","macruronus magellanicus","macruronus magellanicus","macruronus magellanicus","macruronus",NA,NA,NA,NA,0,6954319.815
"129","chondrichthyes","chondrichthyes",NA,NA,NA,NA,"chondrichthyes",NA,0,6925127.815
"130","leiognathus","leiognathus",NA,"leiognathus",NA,NA,NA,NA,0,6905903.052
"131","mugil cephalus","mugil cephalus","mugil cephalus","mugil",NA,NA,NA,NA,0,6770481.928
"132","cetengraulis mysticetus","cetengraulis",NA,"cetengraulis",NA,NA,NA,NA,0,6702829.674
"133","coryphaena hippurus","coryphaena hippurus","coryphaena hippurus","coryphaena",NA,NA,NA,NA,0,6677256.561
"134","opisthonema libertate","opisthonema",NA,"opisthonema",NA,NA,NA,NA,0,6453976.11
"135","penaeus","penaeus",NA,"penaeus",NA,NA,NA,NA,0,6367397.671
"136","pseudotolithus","pseudotolithus",NA,"pseudotolithus",NA,NA,NA,NA,0,6366509.509
"137","micromesistius australis","micromesistius australis","micromesistius australis","micromesistius",NA,NA,NA,NA,0,6286697.234
"138","sardinella maderensis","sardinella maderensis","sardinella maderensis","sardinella",NA,NA,NA,NA,0,6282842.047
"139","mytilus edulis","mytilus edulis","mytilus edulis","mytilus",NA,NA,NA,NA,0,6263036.613
"140","sergestidae","sergestidae",NA,NA,"sergestidae",NA,NA,NA,0,6239282.117
"141","merluccius bilinearis","merluccius",NA,"merluccius",NA,NA,NA,NA,0,6186482.932
"142","sardinella brasiliensis","sardinella brasiliensis","sardinella brasiliensis","sardinella",NA,NA,NA,NA,0,6149462.188
"143","larimichthys crocea","larimichthys crocea","larimichthys crocea","larimichthys",NA,NA,NA,NA,0,6141814.008
"144","micropogonias furnieri","micropogonias furnieri","micropogonias furnieri","micropogonias",NA,NA,NA,NA,0,6103669.174
"145","sepia","sepia",NA,"sepia",NA,NA,NA,NA,0,6087140.144
"146","pomatomus saltatrix","pomatomus saltatrix","pomatomus saltatrix","pomatomus",NA,NA,NA,NA,0,6051732.042
"147","megalaspis cordyla","megalaspis cordyla","megalaspis cordyla","megalaspis",NA,NA,NA,NA,0,6028206.012
"148","callinectes sapidus","callinectes sapidus","callinectes sapidus","callinectes",NA,NA,NA,NA,0,6021749.393
"149","sarda sarda","sarda",NA,"sarda",NA,NA,NA,NA,0,5967698.02
"150","serranidae","serranidae",NA,NA,"serranidae",NA,NA,NA,0,5817427.289
"151","rachycentron canadum","rachycentron canadum","rachycentron canadum","rachycentron",NA,NA,NA,NA,0,5809172.768
"152","veneridae","veneridae","veneridae",NA,"veneridae",NA,NA,NA,0,5710829.803
"153","batoidea",NA,NA,NA,NA,NA,NA,NA,1,5699085.524
"154","sphyraena","sphyraena",NA,"sphyraena",NA,NA,NA,NA,0,5609056.988
"155","lutjanus","lutjanus",NA,"lutjanus",NA,NA,NA,NA,0,5546768.284
"156","lophius vomerinus","lophius",NA,"lophius",NA,NA,NA,NA,0,5522362.748
"157","euphausia superba","euphausia superba","euphausia superba","euphausia",NA,NA,NA,NA,0,5448214.35
"158","mullidae","mullidae",NA,NA,"mullidae",NA,NA,NA,0,5446891.402
"159","epinephelus","epinephelus",NA,"epinephelus",NA,NA,NA,NA,0,5409761.999
"160","stephanolepis cirrhifer","stephanolepis cirrhifer","stephanolepis cirrhifer","stephanolepis",NA,NA,NA,NA,0,5277544.393
"161","selar crumenophthalmus","selar crumenophthalmus","selar crumenophthalmus","selar",NA,NA,NA,NA,0,5204100.348
"162","caranx","caranx",NA,"caranx",NA,NA,NA,NA,0,5192043.811
"163","cynoscion","cynoscion",NA,"cynoscion",NA,NA,NA,NA,0,5109825.082
"164","paralithodes camtschaticus","paralithodes camtschaticus","paralithodes camtschaticus","paralithodes",NA,NA,NA,NA,0,5048290.363
"165","sardinella lemuru","sardinella",NA,"sardinella",NA,NA,NA,NA,0,5007161.914
"166","lethrinidae","lethrinidae",NA,NA,"lethrinidae",NA,NA,NA,0,4978943.224
"167","scomberomorus guttatus","scomberomorus guttatus","scomberomorus guttatus","scomberomorus",NA,NA,NA,NA,0,4965917.448
"168","osmeridae","osmeridae",NA,NA,"osmeridae",NA,NA,NA,0,4938532.588
"169","laemonema longipes",NA,NA,NA,NA,NA,NA,NA,1,4861062.76
"170","arctica islandica","arctica islandica","arctica islandica","arctica",NA,NA,NA,NA,0,4803392.358
"171","brachydeuterus auritus","brachydeuterus auritus","brachydeuterus auritus","brachydeuterus",NA,NA,NA,NA,0,4679328.805
"172","parastromateus niger","parastromateus niger","parastromateus niger","parastromateus",NA,NA,NA,NA,0,4649687.758
"173","engraulis mordax","engraulis mordax","engraulis mordax","engraulis",NA,NA,NA,NA,0,4649185.387
"174","euthynnus affinis","euthynnus affinis","euthynnus affinis","euthynnus",NA,NA,NA,NA,0,4576038.255
"175","limanda limanda","limanda",NA,"limanda",NA,NA,NA,NA,0,4546104.615
"176","pleurogrammus monopterygius","pleurogrammus monopterygius","pleurogrammus monopterygius","pleurogrammus",NA,NA,NA,NA,0,4499047.145
"177","lates calcarifer","lates calcarifer","lates calcarifer","lates",NA,NA,NA,NA,0,4479117.127
"178","crangon crangon","crangon",NA,"crangon",NA,NA,NA,NA,0,4464416.883
"179","octopus vulgaris","octopus vulgaris","octopus vulgaris","octopus",NA,NA,NA,NA,0,4457526.622
"180","pampus argenteus","pampus argenteus","pampus argenteus","pampus",NA,NA,NA,NA,0,4450880.816
"181","homarus americanus","homarus americanus","homarus americanus","homarus",NA,NA,NA,NA,0,4430900.272
"182","portunidae","portunidae",NA,NA,"portunidae",NA,NA,NA,0,4391082.255
"183","carcharhinidae","carcharhinidae",NA,NA,"carcharhinidae",NA,NA,NA,0,4347723.901
"184","gobiidae","gobiidae",NA,NA,"gobiidae",NA,NA,NA,0,4346628.666
"185","saurida tumbil","saurida tumbil","saurida tumbil","saurida",NA,NA,NA,NA,0,4341118.985
"186","octopodidae","octopodidae",NA,NA,"octopodidae",NA,NA,NA,0,4336395.192
"187","squillidae","squillidae",NA,NA,"squillidae",NA,NA,NA,0,4246096.038
"188","boops boops","boops",NA,"boops",NA,NA,NA,NA,0,4101668.856
"189","ommastrephidae","ommastrephidae",NA,NA,"ommastrephidae",NA,NA,NA,0,4073481.967
"190","carcharhinus","carcharhinus",NA,"carcharhinus",NA,NA,NA,NA,0,3976461.776
"191","scomberomorus niphonius","scomberomorus niphonius","scomberomorus niphonius","scomberomorus",NA,NA,NA,NA,0,3969993.793
"192","chionoecetes","chionoecetes",NA,"chionoecetes",NA,NA,NA,NA,0,3964654.762
"193","perna viridis","perna viridis","perna viridis","perna",NA,NA,NA,NA,0,3960303.958
"194","auxis thazard","auxis thazard","auxis thazard","auxis",NA,NA,NA,NA,0,3957955.342
"195","metapenaeus","metapenaeus",NA,"metapenaeus",NA,NA,NA,NA,0,3920092.963
"196","chionoecetes opilio","chionoecetes opilio","chionoecetes opilio","chionoecetes",NA,NA,NA,NA,0,3898349.758
"197","acetes","acetes",NA,"acetes",NA,NA,NA,NA,0,3880505.844
"198","chirocentrus dorab","chirocentrus dorab","chirocentrus dorab","chirocentrus",NA,NA,NA,NA,0,3859362.863
"199","trachurus mediterraneus","trachurus mediterraneus","trachurus mediterraneus","trachurus",NA,NA,NA,NA,0,3856050.359
"200","sebastes norvegicus","sebastes",NA,"sebastes",NA,NA,NA,NA,0,3841076.745
"201","seriola lalandi","seriola lalandi","seriola lalandi","seriola",NA,NA,NA,NA,0,3797848.456
"202","squalus acanthias","squalus acanthias","squalus acanthias","squalus",NA,NA,NA,NA,0,3727784.439
"203","brachyura",NA,NA,NA,NA,NA,NA,NA,1,3697637.176
"204","sebastes alutus","sebastes alutus","sebastes alutus","sebastes",NA,NA,NA,NA,0,3688170.838
"205","nephrops norvegicus","nephrops norvegicus","nephrops norvegicus","nephrops",NA,NA,NA,NA,0,3676182.452
"206","saurida","saurida",NA,"saurida",NA,NA,NA,NA,0,3672893.671
"207","clupeonella cultriventris","clupeonella cultriventris","clupeonella cultriventris","clupeonella",NA,NA,NA,NA,0,3669433.097
"208","hemiramphus","hemiramphus",NA,"hemiramphus",NA,NA,NA,NA,0,3593254.673
"209","stromateidae","stromateidae",NA,NA,"stromateidae",NA,NA,NA,0,3529560.374
"210","limanda aspera","limanda aspera","limanda aspera","limanda",NA,NA,NA,NA,0,3498517.654
"211","sarda chiliensis","sarda chiliensis","sarda chiliensis","sarda",NA,NA,NA,NA,0,3415328.993
"212","malacostraca","malacostraca",NA,NA,NA,NA,"malacostraca",NA,0,3391295.975
"213","lycodes",NA,NA,NA,NA,NA,NA,NA,1,3385938.781
"214","sphyraenidae","sphyraenidae",NA,NA,"sphyraenidae",NA,NA,NA,0,3379261.882
"215","mugil","mugil",NA,"mugil",NA,NA,NA,NA,0,3371023.158
"216","prionace glauca","prionace glauca","prionace glauca","prionace",NA,NA,NA,NA,0,3359508.989
"217","hippoglossus stenolepis","hippoglossus stenolepis","hippoglossus stenolepis","hippoglossus",NA,NA,NA,NA,0,3356455.712
"218","rajiformes","rajiformes",NA,NA,NA,"rajiformes",NA,NA,0,3350800.329
"219","gastropoda","gastropoda",NA,NA,NA,"gastropoda","gastropoda",NA,0,3212661.128
"220","trichiurus","trichiurus",NA,"trichiurus",NA,NA,NA,NA,0,3209818.081
"221","mercenaria mercenaria","mercenaria",NA,"mercenaria",NA,NA,NA,NA,0,3202611.175
"222","galeoides decadactylus","galeoides decadactylus","galeoides decadactylus","galeoides",NA,NA,NA,NA,0,3167345.344
"223","molva molva","ulva","ulva","molva",NA,NA,NA,NA,0,3146817.149
"224","thyrsites atun","thyrsites atun","thyrsites atun","thyrsites",NA,NA,NA,NA,0,3106935.238
"225","mytilus galloprovincialis","mytilus galloprovincialis","mytilus galloprovincialis","mytilus",NA,NA,NA,NA,0,3084633.406
"226","oncorhynchus kisutch","oncorhynchus kisutch","oncorhynchus kisutch","oncorhynchus",NA,NA,NA,NA,0,3079831.119
"227","solea solea","solea",NA,"solea",NA,NA,NA,NA,0,3043805.223
"228","anarhichas","anarhichas",NA,"anarhichas",NA,NA,NA,NA,0,2968359.448
"229","gadiformes","gadiformes",NA,NA,NA,"gadiformes",NA,NA,0,2912605.665
"230","limanda ferruginea","limanda",NA,"limanda",NA,NA,NA,NA,0,2911097.385
"231","tetraodontidae","tetraodontidae",NA,NA,"tetraodontidae",NA,NA,NA,0,2910168.475
"232","squalus","squalus",NA,"squalus",NA,NA,NA,NA,0,2898088.892
"233","scomber colias","scomber colias","scomber colias","scomber",NA,NA,NA,NA,0,2877055.897
"234","crassostrea gigas","crassostrea gigas","crassostrea gigas","crassostrea",NA,NA,NA,NA,0,2873571.67
"235","umbrina canosai","umbrina canosai","umbrina canosai","umbrina",NA,NA,NA,NA,0,2858897.151
"236","thunnus thynnus","thunnus thynnus","thunnus thynnus","thunnus",NA,NA,NA,NA,0,2851960.752
"237","chloroscombrus chrysurus","chloroscombrus chrysurus","chloroscombrus chrysurus","chloroscombrus",NA,NA,NA,NA,0,2841552.339
"238","boreogadus saida","boreogadus saida","boreogadus saida","boreogadus",NA,NA,NA,NA,0,2830160.478
"239","lactarius lactarius","lactarius",NA,"lactarius",NA,NA,NA,NA,0,2807061.099
"240","hemiramphidae","hemiramphidae",NA,NA,"hemiramphidae",NA,NA,NA,0,2775310.208
"241","caesionidae",NA,NA,NA,NA,NA,NA,NA,1,2767778.777
"242","salmonidae","salmonidae",NA,NA,"salmonidae",NA,NA,NA,0,2734305.123
"243","siganidae","siganidae",NA,NA,"siganidae",NA,NA,NA,0,2715178.513
"244","sebastidae","sebastidae",NA,NA,"sebastidae",NA,NA,NA,0,2708626.539
"245","thunnus tonggol","thunus tonggol","thunus tonggol","thunnus",NA,NA,NA,NA,0,2705593.016
"246","tegillarca granosa","tegillarca granosa","tegillarca granosa","tegillarca",NA,NA,NA,NA,0,2695560.519
"247","muraenesocidae","muraenesocidae",NA,NA,"muraenesocidae",NA,NA,NA,0,2682713.05
"248","sebastes mentella","sebastes mentella","sebastes mentella","sebastes",NA,NA,NA,NA,0,2681752.516
"249","diplodus","diplodus",NA,"diplodus",NA,NA,NA,NA,0,2669056.361
"250","doryteuthis gahi","moroteuthis",NA,"moroteuthis",NA,NA,NA,NA,0,2643977.268
"251","pseudopleuronectes herzensteini",NA,NA,NA,NA,NA,NA,NA,1,2643381.698
"252","cephalopholis boenak","dephalipholis boenak","dephalipholis boenak","cephalopholis",NA,NA,NA,NA,0,2638150.127
"253","xiphias gladius","xiphias gladius","xiphias gladius","xiphias",NA,NA,NA,NA,0,2606027.242
"254","sardinella fimbriata","sardinella fimbriata","sardinella fimbriata","sardinella",NA,NA,NA,NA,0,2599147.568
"255","fenneropenaeus chinensis","fenneropenaeus chinensis","fenneropenaeus chinensis","fenneropenaeus",NA,NA,NA,NA,0,2589817.722
"256","exocoetidae","exocoetidae",NA,NA,"exocoetidae",NA,NA,NA,0,2581211.942
"257","echinoidea","echinoida",NA,NA,NA,"echinoida","echinoidea",NA,0,2552144.748
"258","rajidae","rajidae",NA,NA,"rajidae",NA,NA,NA,0,2534136.383
"259","micropogonias","micropogonias",NA,"micropogonias",NA,NA,NA,NA,0,2533990.904
"260","macrodon ancylodon","macrodon ancylodon","macrodon ancylodon","macrodon",NA,NA,NA,NA,0,2444046.09
"261","fenneropenaeus indicus","fenneropenaeus indicus","fenneropenaeus indicus","fenneropenaeus",NA,NA,NA,NA,0,2394229.695
"262","raja","raja",NA,"raja",NA,NA,NA,NA,0,2387784.282
"263","siganus","siganus",NA,"siganus",NA,NA,NA,NA,0,2349268.14
"264","eleginus gracilis","eleginus gracilis","eleginus gracilis","eleginus",NA,NA,NA,NA,0,2339445.972
"265","scorpaeniformes","scorpaeniformes",NA,NA,NA,"scorpaeniformes",NA,NA,0,2333681.609
"266","brosme brosme","brosme",NA,"brosme",NA,NA,NA,NA,0,2322171.015
"267","arctoscopus japonicus","arctoscopus japonicus","arctoscopus japonicus","arctoscopus",NA,NA,NA,NA,0,2310484.036
"268","congridae","congridae",NA,NA,"congridae",NA,NA,NA,0,2308331.319
"269","cyclopterus lumpus","cyclopterus lumpus","cyclopterus lumpus","cyclopterus",NA,NA,NA,NA,0,2283442.05
