"mar_taxa_name","match","tonnes","Genus","Family","Order","Class","genus_count","family_count","order_count","class_count"
"marine fishes not identified",NA,702209772.8,NA,NA,NA,NA,NA,NA,NA,NA
"marine finfishes not identified",NA,76870363.33,NA,NA,NA,NA,NA,NA,NA,NA
"marine pelagic fishes not identified",NA,75549562.32,NA,NA,NA,NA,NA,NA,NA,NA
"miscellaneous marine crustaceans",NA,33879523.36,NA,NA,NA,NA,NA,NA,NA,NA
"miscellaneous aquatic invertebrates",NA,29195602.52,NA,NA,NA,NA,NA,NA,NA,NA
"placopecten magellanicus",NA,18460080.24,NA,NA,NA,NA,NA,NA,NA,NA
"elasmobranchii","class",17842843.91,NA,NA,NA,NA,NA,NA,NA,NA
"dendrobranchiata",NA,11950793.11,NA,NA,NA,NA,NA,NA,NA,NA
"netuma thalassina","species",7320677.163,"netuma","ariidae","siluriformes","actinopterygii",NA,7,9,896
"batoidea",NA,5699085.524,NA,NA,NA,NA,NA,NA,NA,NA
"laemonema longipes","species",4861062.76,"laemonema","moridae","gadiformes","actinopterygii",NA,4,49,896
"brachyura",NA,3697637.176,NA,NA,NA,NA,NA,NA,NA,NA
"lycodes","genus",3385938.781,NA,NA,NA,NA,NA,NA,NA,NA
"caesionidae","family",2767778.777,NA,NA,NA,NA,NA,NA,NA,NA
"pseudopleuronectes herzensteini","species",2643381.698,"pseudopleuronectes","pleuronectidae","pleuronectiformes","actinopterygii",NA,22,46,896
"apogonidae","family",1812867.131,NA,NA,NA,NA,NA,NA,NA,NA
"marine groundfishes not identified",NA,1615723.842,NA,NA,NA,NA,NA,NA,NA,NA
"metacarcinus magister",NA,1432507.548,NA,NA,NA,NA,NA,NA,NA,NA
"ethmidium maculatum","species",1410168.356,"ethmidium","clupeidae","clupeiformes","actinopterygii",NA,38,66,896
"pseudopleuronectes americanus","species",1149930.438,"pseudopleuronectes","pleuronectidae","pleuronectiformes","actinopterygii",NA,22,46,896
"farfantepenaeus aztecus",NA,1148242.525,NA,NA,NA,NA,NA,NA,NA,NA
"farfantepenaeus californiensis",NA,1142259.404,NA,NA,NA,NA,NA,NA,NA,NA
"oreosomatidae","family",1121417.919,NA,NA,NA,NA,NA,NA,NA,NA
"zygochlamys patagonica",NA,1036099.608,NA,NA,NA,NA,NA,NA,NA,NA
"argopecten purpuratus",NA,993160.7758,NA,NA,NA,NA,NA,NA,NA,NA
"ruvettus pretiosus","species",860360.427,"ruvettus","gempylidae","perciformes","actinopterygii",NA,3,548,896
"alopias superciliosus","species",833407.1045,"alopias","alopiidae","lamniformes","elasmobranchii",NA,NA,4,79
"cymbium",NA,790406.0206,NA,NA,NA,NA,NA,NA,NA,NA
"stomolophus",NA,711647.5629,NA,NA,NA,NA,NA,NA,NA,NA
"farfantepenaeus notialis",NA,711545.7578,NA,NA,NA,NA,NA,NA,NA,NA
"aequipecten opercularis",NA,705616.1586,NA,NA,NA,NA,NA,NA,NA,NA
"alopias","genus",689337.5332,NA,NA,NA,NA,NA,NA,NA,NA
"pteriomorphia",NA,679857.1135,NA,NA,NA,NA,NA,NA,NA,NA
"anodontostoma chacunda","species",679745.6606,"anodontostoma","clupeidae","clupeiformes","actinopterygii",NA,38,66,896
"rhinobatidae","family",677601.16,NA,NA,NA,NA,NA,NA,NA,NA
"pseudopentaceros wheeleri",NA,671331.3,NA,NA,NA,NA,NA,NA,NA,NA
"argopecten gibbus",NA,666217.9461,NA,NA,NA,NA,NA,NA,NA,NA
"eucinostomus","genus",626034.8352,NA,NA,NA,NA,NA,NA,NA,NA
"farfantepenaeus duorarum",NA,598306.2386,NA,NA,NA,NA,NA,NA,NA,NA
"kajikia audax","species",573297.2907,"kajikia","istiophoridae","perciformes","actinopterygii",NA,7,548,896
"macroramphosus scolopax","species",556695.9408,"macroramphosus","centriscidae","syngnathiformes","actinopterygii",NA,NA,2,896
"argopecten irradians",NA,555874.5216,NA,NA,NA,NA,NA,NA,NA,NA
"farfantepenaeus subtilis",NA,531049.8416,NA,NA,NA,NA,NA,NA,NA,NA
"sciaenops ocellatus","species",440333.2678,"sciaenops","sciaenidae","perciformes","actinopterygii",NA,57,548,896
"galeorhinus galeus","species",436724.4928,"galeorhinus","triakidae","carcharhiniformes","elasmobranchii",NA,6,32,79
"rhomboplites aurorubens","species",379918.4732,"rhomboplites","lutjanidae","perciformes","actinopterygii",NA,40,548,896
"cetorhinus maximus","species",356757.5216,"cetorhinus","cetorhinidae","lamniformes","elasmobranchii",NA,NA,4,79
"pteroscion peli","species",342477.9434,"pteroscion","sciaenidae","perciformes","actinopterygii",NA,57,548,896
"istiompax indica","species",323554.2758,"istiompax","istiophoridae","perciformes","actinopterygii",NA,7,548,896
"pterogymnus laniarius","species",294768.5561,"pterogymnus","sparidae","perciformes","actinopterygii",NA,42,548,896
"genyatremus luteus","species",286601.0436,"genyatremus","haemulidae","perciformes","actinopterygii",NA,27,548,896
"pentheroscion mbizi","species",281625.7339,"pentheroscion","sciaenidae","perciformes","actinopterygii",NA,57,548,896
"anchoviella","genus",266944.0357,NA,NA,NA,NA,NA,NA,NA,NA
"farfantepenaeus brevirostris",NA,251799.3615,NA,NA,NA,NA,NA,NA,NA,NA
"farfantepenaeus brasiliensis",NA,250210.8774,NA,NA,NA,NA,NA,NA,NA,NA
"diogenidae",NA,249060.9318,NA,NA,NA,NA,NA,NA,NA,NA
"alopias vulpinus","species",231087.8837,"alopias","alopiidae","lamniformes","elasmobranchii",NA,NA,4,79
"asterias rubens",NA,206464.2578,NA,NA,NA,NA,NA,NA,NA,NA
"isacia conceptionis","species",205890.4798,"isacia","haemulidae","perciformes","actinopterygii",NA,27,548,896
"chaceon maritae",NA,196074.1798,NA,NA,NA,NA,NA,NA,NA,NA
"lamnidae","family",189307.9142,NA,NA,NA,NA,NA,NA,NA,NA
"lampanyctodes hectoris","species",188839.7,"lampanyctodes","myctophidae","myctophiformes","actinopterygii",NA,4,4,896
"aetobatus narinari","species",172308.6617,"aetobatus","aetobatidae","myliobatiformes","elasmobranchii",NA,NA,4,79
"cyclopsetta querna","species",163834.0448,"cyclopsetta","paralichthyidae","pleuronectiformes","actinopterygii",NA,5,46,896
"farfantepenaeus paulensis",NA,154921.7387,NA,NA,NA,NA,NA,NA,NA,NA
"aspistor quadriscutis","species",152661.1321,"aspistor","ariidae","siluriformes","actinopterygii",NA,7,9,896
"asterozoa",NA,149808.9187,NA,NA,NA,NA,NA,NA,NA,NA
"rhynchobatus djiddensis","species",148528.4093,"rhynchobatus","rhinidae","rhinopristiformes","elasmobranchii",NA,NA,NA,79
"batrachoididae","family",148217.1709,NA,NA,NA,NA,NA,NA,NA,NA
"tautoga onitis","species",135341.9548,"tautoga","labridae","perciformes","actinopterygii",NA,12,548,896
"acanthocardia tuberculata",NA,130683.4998,NA,NA,NA,NA,NA,NA,NA,NA
"kathetostoma giganteum","species",123969.4407,"kathetostoma","uranoscopidae","perciformes","actinopterygii",NA,1,548,896
"sphyrnidae","family",123397.2742,NA,NA,NA,NA,NA,NA,NA,NA
"glycymeris glycymeris",NA,116520.8467,NA,NA,NA,NA,NA,NA,NA,NA
"tawera gayi",NA,111494.619,NA,NA,NA,NA,NA,NA,NA,NA
"miscellaneous diadromous fishes",NA,110811.5126,NA,NA,NA,NA,NA,NA,NA,NA
"diodontidae","family",104937.1224,NA,NA,NA,NA,NA,NA,NA,NA
"moolgarda seheli",NA,103181.7506,NA,NA,NA,NA,NA,NA,NA,NA
"harengula clupeola","species",95190.96014,"harengula","clupeidae","clupeiformes","actinopterygii",NA,38,66,896
"ginglymostoma cirratum","species",89188.55294,"ginglymostoma","ginglymostomatidae","orectolobiformes","elasmobranchii",NA,1,1,79
"paralomis granulosa",NA,88574.45238,NA,NA,NA,NA,NA,NA,NA,NA
"trichopsetta caribbaea","species",79964.87449,"trichopsetta","bothidae","pleuronectiformes","actinopterygii",NA,3,46,896
"epigonus telescopus","species",78596.76093,"epigonus","epigonidae","perciformes","actinopterygii",NA,NA,548,896
"gymnocranius","genus",76683.90672,NA,NA,NA,NA,NA,NA,NA,NA
"haliporoides triarthrus",NA,75267.5,NA,NA,NA,NA,NA,NA,NA,NA
"plesiopenaeus edwardsianus",NA,74867.26434,NA,NA,NA,NA,NA,NA,NA,NA
"kajikia albida","species",71118.6736,"kajikia","istiophoridae","perciformes","actinopterygii",NA,7,548,896
"martialia hyadesi",NA,70259.46766,NA,NA,NA,NA,NA,NA,NA,NA
"caulolatilus princeps","species",69072.28309,"caulolatilus","malacanthidae","perciformes","actinopterygii",NA,1,548,896
"totoaba macdonaldi","species",66993.51671,"totoaba","sciaenidae","perciformes","actinopterygii",NA,57,548,896
"squatinidae","family",66683.46229,NA,NA,NA,NA,NA,NA,NA,NA
"siliqua patula",NA,65795.23213,NA,NA,NA,NA,NA,NA,NA,NA
"austroglossus microlepis","species",63346.93788,"austroglossus","soleidae","pleuronectiformes","actinopterygii",NA,3,46,896
"chrysoblephus","genus",61142.4,NA,NA,NA,NA,NA,NA,NA,NA
"harengula","genus",60221.32405,NA,NA,NA,NA,NA,NA,NA,NA
"microchirus","genus",55154.65777,NA,NA,NA,NA,NA,NA,NA,NA
"chaceon notialis",NA,53005.32999,NA,NA,NA,NA,NA,NA,NA,NA
"zearaja chilensis","species",51972.04882,"zearaja","rajidae","rajiformes","elasmobranchii",NA,17,24,79
"mulinia",NA,50872.3619,NA,NA,NA,NA,NA,NA,NA,NA
"naucrates ductor","species",50767.40609,"naucrates","carangidae","perciformes","actinopterygii",NA,64,548,896
"chaetodipterus faber","species",44250.64163,"chaetodipterus","ephippidae","perciformes","actinopterygii",NA,NA,548,896
"protrachypene precipua",NA,42619.50038,NA,NA,NA,NA,NA,NA,NA,NA
"petromyzon marinus","species",41700.75773,"petromyzon","petromyzontidae","petromyzontiformes","cephalaspidomorphi",NA,NA,NA,NA
"argopecten ventricosus",NA,39957.25,NA,NA,NA,NA,NA,NA,NA,NA
"dorosoma cepedianum","species",39222.32598,"dorosoma","clupeidae","clupeiformes","actinopterygii",NA,38,66,896
"sphoeroides maculatus","species",38860.0016,"sphoeroides","tetraodontidae","tetraodontiformes","actinopterygii",NA,2,10,896
"joturus pichardi","species",38544.371,"joturus","mugilidae","mugiliformes","actinopterygii",NA,6,6,896
"citharichthys sordidus","species",37704.43484,"citharichthys","paralichthyidae","pleuronectiformes","actinopterygii",NA,5,46,896
"enoplolambrus validus",NA,37637.27261,NA,NA,NA,NA,NA,NA,NA,NA
"lachnolaimus maximus","species",34884.63868,"lachnolaimus","labridae","perciformes","actinopterygii",NA,12,548,896
"choromytilus chorus",NA,33744.63333,NA,NA,NA,NA,NA,NA,NA,NA
"anomura",NA,33543.19056,NA,NA,NA,NA,NA,NA,NA,NA
"nematopalaemon schmitti",NA,33331.2859,NA,NA,NA,NA,NA,NA,NA,NA
"austroglossus pectoralis","species",33216,"austroglossus","soleidae","pleuronectiformes","actinopterygii",NA,3,46,896
"geryon",NA,30621.20234,NA,NA,NA,NA,NA,NA,NA,NA
