mar_taxa_name,mar_match_key,afcd_match_species,afcd_match_genus,afcd_match_family,afcd_match_order,afcd_match_class,afcd_match_phylum,missing,tonnes
marine fishes not identified,NA,NA,NA,NA,NA,NA,NA,1,702209772.8
engraulis ringens,engraulis ringens,engraulis ringens,engraulis,NA,NA,NA,NA,0,417693213.3
theragra chalcogramma,theragra chalcogramma,theragra chalcogramma,theragra,NA,NA,NA,NA,0,301915378.2
sardinops sagax,sardinops sagax,sardinops sagax,sardinops,NA,NA,NA,NA,0,238090690.7
gadus morhua,gadus morhua,gadus morhua,gadus,NA,NA,NA,NA,0,152665673.8
clupea harengus,clupea harengus,clupea harengus,clupea,NA,NA,NA,NA,0,136429105.1
marine finfishes not identified,NA,NA,NA,NA,NA,NA,NA,1,76870363.33
carangidae,carangidae,NA,NA,carangidae,NA,NA,NA,0,76476387.35
marine pelagic fishes not identified,NA,NA,NA,NA,NA,NA,NA,1,75549562.32
mallotus villosus,mallotus villosus,mallotus villosus,mallotus,NA,NA,NA,NA,0,72058735.15
sardina pilchardus,sardina pilchardus,sardina pilchardus,sardina,NA,NA,NA,NA,0,68824395.06
trachurus murphyi,trachurus murphyi,trachurus murphyi,trachurus,NA,NA,NA,NA,0,66608870.74
nemipteridae,nemipteridae,NA,NA,nemipteridae,NA,NA,NA,0,60759658.95
sardinella,sardinella,NA,sardinella,NA,NA,NA,NA,0,60532716.43
trichiurus lepturus,trichiurus lepturus,trichiurus lepturus,trichiurus,NA,NA,NA,NA,0,59126985.91
sebastes,sebastes,sebastes,sebastes,NA,NA,NA,NA,0,51756233.13
leiognathidae,leiognathidae,NA,NA,leiognathidae,NA,NA,NA,0,51357820.9
engraulis japonicus,engraulis japonicus,engraulis japonicus,engraulis,NA,NA,NA,NA,0,49892538.19
katsuwonus pelamis,katsuwonus pelamis,katsuwonus pelamis,katsuwonus,NA,NA,NA,NA,0,49473212.56
sciaenidae,sciaenidae,NA,NA,sciaenidae,NA,NA,NA,0,48012245.89
scyphozoa,scyphozoa,NA,NA,NA,NA,scyphozoa,NA,0,47841498.59
scomber japonicus,scomber japonicus,scomber japonicus,scomber,NA,NA,NA,NA,0,47670573.5
melanogrammus aeglefinus,melanogrammus aeglefinus,melanogrammus aeglefinus,melanogrammus,NA,NA,NA,NA,0,47314896.85
engraulis encrasicolus,engraulis encrasicolus,engraulis encrasicolus,engraulis,NA,NA,NA,NA,0,46979047.75
scomber,scomber,NA,scomber,NA,NA,NA,NA,0,45186997.79
todarodes pacificus,todarodes pacificus,todarodes pacificus,todarodes,NA,NA,NA,NA,0,44575423.96
scomber scombrus,scomber scombrus,scomber scombrus,scomber,NA,NA,NA,NA,0,40877119.19
clupea pallasii pallasii,clupea pallasii,clupea pallasii,clupea,NA,NA,NA,NA,0,40478243.09
rastrelliger kanagurta,rastrelliger kanagurta,rastrelliger kanagurta,rastrelliger,NA,NA,NA,NA,0,39980381.24
mollusca,mollusca,NA,NA,NA,NA,mollusca,mollusca,0,37852922.05
micromesistius poutassou,micromesistius poutassou,micromesistius poutassou,micromesistius,NA,NA,NA,NA,0,37354125.63
merluccius,merluccius,NA,merluccius,NA,NA,NA,NA,0,36857288.22
brevoortia patronus,brevoortia,NA,brevoortia,NA,NA,NA,NA,0,35687525.43
miscellaneous marine crustaceans,NA,NA,NA,NA,NA,NA,NA,1,33879523.36
thunnus albacares,thunnus albacares,thunnus albacares,thunnus,NA,NA,NA,NA,0,32927532.62
cololabis saira,cololabis saira,cololabis saira,cololabis,NA,NA,NA,NA,0,31907916.3
penaeidae, penaeidae, penaeidae,NA,penaeidae,NA,NA,NA,0,30423109.17
sprattus sprattus,sprattus,NA,sprattus,NA,NA,NA,NA,0,29391236.98
miscellaneous aquatic invertebrates,NA,NA,NA,NA,NA,NA,NA,1,29195602.52
synodontidae,synodontidae,NA,NA,synodontidae,NA,NA,NA,0,28498420.19
merluccius hubbsi,merluccius hubbsi,merluccius hubbsi,merluccius,NA,NA,NA,NA,0,27966651.89
pollachius virens,pollachius virens,pollachius virens,pollachius,NA,NA,NA,NA,0,26392459.32
oncorhynchus gorbuscha,oncorhynchus gorbuscha,oncorhynchus gorbuscha,oncorhynchus,NA,NA,NA,NA,0,24150537.16
gadus macrocephalus,gadus macrocephalus,gadus macrocephalus,gadus,NA,NA,NA,NA,0,23727336.35
clupeidae,clupeidae,NA,NA,clupeidae,NA,NA,NA,0,23699492.58
trachurus,trachurus,NA,trachurus,NA,NA,NA,NA,0,23428358.88
brevoortia tyrannus,brevoortia,NA,brevoortia,NA,NA,NA,NA,0,23297010.99
scombridae,scombridae,NA,NA,scombridae,NA,NA,NA,0,22158155.4
crassostrea virginica,crassostrea virginica,crassostrea virginica,crassostrea,NA,NA,NA,NA,0,21767764.98
trachurus capensis,trachurus,NA,trachurus,NA,NA,NA,NA,0,21226178.85
sardinella longiceps,sardinella longiceps,sardinella longiceps,sardinella,NA,NA,NA,NA,0,20404512.78
bivalvia,bivalvia,NA,NA,NA,NA,bivalvia,NA,0,20108635.75
engraulis capensis,engraulis,NA,engraulis,NA,NA,NA,NA,0,20095400.72
pleuronectidae,pleuronectidae,NA,NA,pleuronectidae,NA,NA,NA,0,19709330.42
placopecten magellanicus,NA,NA,NA,NA,NA,NA,NA,1,18460080.24
illex argentinus,illex argentinus,illex argentinus,illex,NA,NA,NA,NA,0,18447706.45
trachurus japonicus,trachurus japonicus,trachurus japonicus,trachurus,NA,NA,NA,NA,0,17977349.51
sardinella aurita,sardinella aurita,sardinella aurita,sardinella,NA,NA,NA,NA,0,17918173.36
elasmobranchii,NA,NA,NA,NA,NA,NA,NA,1,17842843.91
