OUTPUT,iso3c,production_system,food_type,source,Comment,Org,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
AFL_FHA_FO..INL,AFL,FHA,FO,INL,AFL_FHA_FO..INL = AFL_FH_FO*AFL_FHA_QP..INL/(AFL_FH_QP-AFL_FH_CR-AFL_FH_OU),Scalar TS,Numeric,126.8199445,122.7239436,142.7730163,158.4047368,183.8588565,201.701019,209.7626907,220.0792768,216.5903534,219.2929276,228.2648342,231.9579017,236.6716715,247.0972869,257.2166271,270.3176625,284.5164967,293.6603836,302.0538404,310.6931608,321.9512888
AFL_FHA_FO..MAR,AFL,FHA,FO,MAR,AFL_FHA_FO..MAR = AFL_FH_FO*AFL_FHA_QP..MAR/(AFL_FH_QP-AFL_FH_CR-AFL_FH_OU),Scalar TS,Numeric,5.352857753,7.272943329,6.606387476,7.311368775,7.113863776,5.517993467,7.626383823,8.335779696,6.355774439,6.212454146,6.638021039,6.880694396,7.19163668,7.488742489,7.776350346,8.077440867,8.372338254,8.705441456,9.01725242,9.298316076,9.61898618
AFL_FHC_FO..INL,AFL,FHC,FO,INL,AFL_FHC_FO..INL = AFL_FH_FO*AFL_FHC_QP..INL/(AFL_FH_QP-AFL_FH_CR-AFL_FH_OU),Scalar TS,Numeric,1744.778568,1843.323763,1925.068686,2022.411937,2119.911175,2091.634162,2145.424321,2219.915181,2302.166278,2278.907501,2283.725659,2317.577787,2359.725932,2403.901216,2443.815677,2486.143984,2526.63462,2579.888499,2635.264896,2684.729949,2746.807294
AFL_FHC_FO..MAR,AFL,FHC,FO,MAR,"AFL_FHC_FO..MAR = AFL_FH_FO*(AFL_FHC_QP..MAR-AFL_FH_CR-AFL_FH_OU)/(AFL_FH_
QP-AFL_FH_CR-AFL_FH_OU)",Scalar TS,Numeric,1422.816827,1616.186286,1783.707627,1856.618991,1953.411301,1960.115479,1954.688885,2305.728098,2111.921635,2117.85055,2117.390097,2151.332822,2191.972852,2235.052742,2274.149851,2315.427034,2355.05729,2406.741598,2450.529624,2488.691046,2538.263769
AFN_FHA_FO..INL,AFN,FHA,FO,INL,AFN_FHA_FO..INL = AFN_FH_FO*AFN_FHA_QP..INL/(AFN_FH_QP-AFN_FH_CR-AFN_FH_OU),Scalar TS,Numeric,2.540520509,2.753291344,2.95182105,2.67680517,2.562456618,2.080335538,1.966714826,2.186859834,3.287975066,3.430300855,3.65998231,3.793074229,3.964807938,4.103838493,4.240280579,4.374941472,4.496056487,4.64294181,4.789129197,4.925910923,5.047126497
AFN_FHA_FO..MAR,AFN,FHA,FO,MAR,AFN_FHA_FO..MAR = AFN_FH_FO*AFN_FHA_QP..MAR/(AFN_FH_QP-AFN_FH_CR-AFN_FH_OU),Scalar TS,Numeric,3.830771188,6.502499325,6.997589068,9.471074411,9.534151692,10.6191887,11.84688656,15.14246667,16.97374628,17.53437091,15.20243822,13.5331565,13.5998242,14.05921053,14.16209179,14.34229722,14.20991714,14.19916565,13.86461814,13.55468431,13.27149805
AFN_FHC_FO..INL,AFN,FHC,FO,INL,AFN_FHC_FO..INL = AFN_FH_FO*AFN_FHC_QP..INL/(AFN_FH_QP-AFN_FH_CR-AFN_FH_OU),Scalar TS,Numeric,6.620390943,7.873351065,11.16643655,12.17878877,12.41105251,11.68465661,11.87277412,0.353895173,11.57244972,10.003224,10.00441059,10.0462005,10.23229761,10.39549166,10.52712558,10.64860103,10.71091886,10.82428081,13.60630167,16.39620532,19.15054741
AFN_FHC_FO..MAR,AFN,FHC,FO,MAR,"AFN_FHC_FO..MAR = AFN_FH_FO*(AFN_FHC_QP..MAR-AFN_FH_CR-AFN_FH_OU)/(AFN_FH_
QP-AFN_FH_CR-AFN_FH_OU)",Scalar TS,Numeric,858.4131004,833.9603353,991.2895153,1027.633302,1007.579875,1087.421636,1110.160593,1071.379652,1107.31806,1155.99962,1155.583846,1160.410892,1181.906493,1200.756619,1215.961317,1229.992634,1237.190808,1250.284955,1256.614341,1260.528856,1260.196491
AFS_FHA_FO..INL,AFS,FHA,FO,INL,AFS_FHA_FO..INL = AFS_FH_FO*AFS_FHA_QP..INL/(AFS_FH_QP-AFS_FH_CR-AFS_FH_OU),Scalar TS,Numeric,34.83899474,70.96925794,75.73825886,92.9514871,107.37238,106.1805314,117.3071167,119.0579049,156.6286074,189.9352269,196.5834292,198.7616518,208.1011251,217.6630872,227.2627911,239.597436,250.7171589,262.4121889,274.0668292,284.9738899,299.1296639
AFS_FHA_FO..MAR,AFS,FHA,FO,MAR,AFS_FHA_FO..MAR = AFS_FH_FO*AFS_FHA_QP..MAR/(AFS_FH_QP-AFS_FH_CR-AFS_FH_OU),Scalar TS,Numeric,1.258206019,1.069552963,1.110175568,0.972471396,1.592252285,1.647240352,2.019062039,2.244461277,3.402542047,3.954537248,4.438228371,4.593600277,4.8241155,5.027827612,5.196904865,5.415237097,5.623348094,5.86695131,6.10015675,6.31330845,6.572278526
AFS_FHC_FO..INL,AFS,FHC,FO,INL,AFS_FHC_FO..INL = AFS_FH_FO*AFS_FHC_QP..INL/(AFS_FH_QP-AFS_FH_CR-AFS_FH_OU),Scalar TS,Numeric,436.6655332,521.3937994,447.5005725,471.5773126,492.7424065,510.8996594,486.2158965,442.768024,461.8603996,473.3033057,483.5365346,475.5418532,469.919298,465.3167327,461.3500003,456.5134718,450.0001616,445.9455381,445.4666362,442.9944935,443.1689238
