OUTPUT,iso3c,production_system,food_type,source,Comment,Org,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
AFL_FHA_FO..INL,AFL,FHA,FO,INL,AFL_FHA_FO..INL = AFL_FH_FO*AFL_FHA_QP..INL/(AFL_FH_QP-AFL_FH_CR-AFL_FH_OU),Scalar TS,Numeric,126.8199445,122.7239436,142.7730163,158.4047368,183.8588565,201.701019,209.7626907,220.0792768,216.5903534,219.2929276,235.7095813,243.6373289,252.886324,267.0479854,281.1867284,298.4043345,316.9774673,332.2140616,347.0149763,362.2427661,380.8511682
AFL_FHA_FO..MAR,AFL,FHA,FO,MAR,AFL_FHA_FO..MAR = AFL_FH_FO*AFL_FHA_QP..MAR/(AFL_FH_QP-AFL_FH_CR-AFL_FH_OU),Scalar TS,Numeric,5.352857753,7.272943329,6.606387476,7.311368775,7.113863776,5.517993467,7.626383823,8.335779696,6.355774439,6.212454146,6.791313309,7.059807847,7.389519317,7.709337811,8.019063509,8.348025298,8.674318417,9.039422166,9.381424161,9.694531222,10.05635139
AFL_FHC_FO..INL,AFL,FHC,FO,INL,AFL_FHC_FO..INL = AFL_FH_FO*AFL_FHC_QP..INL/(AFL_FH_QP-AFL_FH_CR-AFL_FH_OU),Scalar TS,Numeric,1744.778568,1843.323763,1925.068686,2022.411937,2119.911175,2091.634162,2145.424321,2219.915181,2302.166278,2278.907501,2299.379586,2345.460462,2396.208706,2449.68214,2497.986906,2549.680653,2599.857667,2662.179418,2725.692795,2783.305344,2855.414517
AFL_FHC_FO..MAR,AFL,FHC,FO,MAR,"AFL_FHC_FO..MAR = AFL_FH_FO*(AFL_FHC_QP..MAR-AFL_FH_CR-AFL_FH_OU)/(AFL_FH_
QP-AFL_FH_CR-AFL_FH_OU)",Scalar TS,Numeric,1422.816827,1616.186286,1783.707627,1856.618991,1953.411301,1960.115479,1954.688885,2305.728098,2111.921635,2117.85055,2131.935396,2177.277787,2225.95593,2277.742928,2324.71565,2374.787088,2423.524636,2483.757288,2534.895707,2580.37366,2638.95921
AFN_FHA_FO..INL,AFN,FHA,FO,INL,AFN_FHA_FO..INL = AFN_FH_FO*AFN_FHA_QP..INL/(AFN_FH_QP-AFN_FH_CR-AFN_FH_OU),Scalar TS,Numeric,2.540520509,2.753291344,2.95182105,2.67680517,2.562456618,2.080335538,1.966714826,2.186859834,3.287975066,3.430300855,3.512407201,3.506319332,3.546530763,3.568220216,3.594707071,3.628515731,3.656685189,3.71193984,3.764912949,3.814145994,3.862887887
AFN_FHA_FO..MAR,AFN,FHA,FO,MAR,AFN_FHA_FO..MAR = AFN_FH_FO*AFN_FHA_QP..MAR/(AFN_FH_QP-AFN_FH_CR-AFN_FH_OU),Scalar TS,Numeric,3.830771188,6.502499325,6.997589068,9.471074411,9.534151692,10.6191887,11.84688656,15.14246667,16.97374628,17.53437091,15.17800435,13.47868692,13.2013056,13.22215781,13.02968356,12.92814587,12.64444059,12.4915582,12.14797572,11.83980238,11.58316208
AFN_FHC_FO..INL,AFN,FHC,FO,INL,AFN_FHC_FO..INL = AFN_FH_FO*AFN_FHC_QP..INL/(AFN_FH_QP-AFN_FH_CR-AFN_FH_OU),Scalar TS,Numeric,6.620390943,7.873351065,11.16643655,12.17878877,12.41105251,11.68465661,11.87277412,0.353895173,11.57244972,10.003224,10.23657727,10.47973112,10.87697574,11.24953942,11.59048153,11.92771976,12.20385158,12.5438562,16.01813707,19.59592099,23.27074669
AFN_FHC_FO..MAR,AFN,FHC,FO,MAR,"AFN_FHC_FO..MAR = AFN_FH_FO*(AFN_FHC_QP..MAR-AFN_FH_CR-AFN_FH_OU)/(AFN_FH_
QP-AFN_FH_CR-AFN_FH_OU)",Scalar TS,Numeric,858.4131004,833.9603353,991.2895153,1027.633302,1007.579875,1087.421636,1110.160593,1071.379652,1107.31806,1155.99962,1182.400824,1210.486904,1256.371613,1299.405489,1338.786838,1377.740363,1409.635642,1448.908705,1479.360171,1506.52077,1531.325068
AFS_FHA_FO..INL,AFS,FHA,FO,INL,AFS_FHA_FO..INL = AFS_FH_FO*AFS_FHA_QP..INL/(AFS_FH_QP-AFS_FH_CR-AFS_FH_OU),Scalar TS,Numeric,34.83899474,70.96925794,75.73825886,92.9514871,107.37238,106.1805314,117.3071167,119.0579049,156.6286074,189.9352269,197.9624287,201.6545624,212.7648286,224.1546027,235.5287162,249.8927714,263.688758,278.7115545,293.8140047,308.4069723,327.1098539
AFS_FHA_FO..MAR,AFS,FHA,FO,MAR,AFS_FHA_FO..MAR = AFS_FH_FO*AFS_FHA_QP..MAR/(AFS_FH_QP-AFS_FH_CR-AFS_FH_OU),Scalar TS,Numeric,1.258206019,1.069552963,1.110175568,0.972471396,1.592252285,1.647240352,2.019062039,2.244461277,3.402542047,3.954537248,4.469361796,4.618365154,4.849470373,5.056599205,5.230519437,5.454861037,5.673706981,5.929272133,6.171699682,6.393137026,6.671542333
