OUTPUT,iso3c,group,source,unit,Comment,Org,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
AFL_FHA_QP..MAR,AFL,FHA,Aquaculture,QP,AFL_FHA_QP..MAR = AFL_OTHA_QP..MAR+AFL_SHPA_QP,Scalar TS,Numeric,4.992,6.543,5.832,6.396,5.978,4.665,6.391,7.069,5.326,5.17461155,5.3875,5.5875,5.7875,5.9875,6.1875,6.3875,6.5875,6.7875,6.9875,7.1875,7.3875
AFL_FHC_QP..MAR,AFL,FHC,Capture,QP,"AFL_FHC_QP..MAR = OVERLAY(AFL_FHC_QP..MAR..HIS,AFL_FHC_QP*(TRND*0+0.5*FHCQPADJ))",Scalar TS,Numeric,1433.474,1524.202,1618.466,1694.567,1689.603,1733.033,1823.089,2110.385,1907.705,1898.19688,1853.499999,1881.999859,1898.999413,1921.999394,1944.499518,1965.999499,1987.999655,2011.499736,2033.923857,2058.731861,2084.417875
AFL_OTHA_QP..MAR,AFL,OTHA,Aquaculture,QP,"AFL_OTHA_QP..MAR = OVERLAY(AFL_OTHA_QP..MAR..HIS,AFL_OTHA_QP*0.75)",Scalar TS,Numeric,0.094,0.342,0.5715,0.739,0.896,0.97,1.907,1.18,0.00725,0.17461155,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
AFL_SHPA_QP,AFL,SHPA,Aquaculture,QP,,Scalar TS,Numeric,4.898,6.201,5.2605,5.657,5.082,3.695,4.484,5.889,5.31875,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2
AFN_DEMA_QP,AFN,DEMA,Aquaculture,QP,,Scalar TS,Numeric,4.37267,7.54202,8.07336,11.26219,11.35012,13.92867,15.686,21.2727,23.02517,23.67,20.57768011,18.25385602,18.14676966,18.73797334,18.85403127,19.08413366,18.94550106,18.86161904,18.34226155,17.89649249,17.54365791
AFN_FHA_QP..MAR,AFN,FHA,Aquaculture,QP,AFN_FHA_QP..MAR = AFN_OTHA_QP..MAR+AFN_DEMA_QP,Scalar TS,Numeric,4.831,7.727,8.386,11.987,11.735,14.063,16.017,21.394,23.459,24.07963215,21.01768011,18.70985602,18.61876966,19.22597334,19.35803127,19.60413366,19.48150106,19.41361904,18.91026155,18.48049249,18.14365791
AFN_FHC_QP..MAR,AFN,FHC,Capture,QP,"AFN_FHC_QP..MAR = OVERLAY(AFN_FHC_QP..MAR..HIS,AFN_FHC_
QP*(TRND*0+0.992*FHCQPADJ))",Scalar TS,Numeric,1364.514,1184.425,1397.524,1486.07,1585.077,1588.653,1673.269,1606.304,1609.279,1703.418417,1715.081344,1722.244744,1737.050855,1762.763791,1784.2893,1804.858576,1820.871447,1835.119765,1840.209886,1845.512162,1850.323577
AFN_OTHA_QP..MAR,AFN,OTHA,Aquaculture,QP,"AFN_OTHA_QP..MAR = OVERLAY(AFN_OTHA_QP..MAR..HIS,AFN_OTHA_QP*0.08)",Scalar TS,Numeric,0.45833,0.18498,0.31264,0.72481,0.38488,0.13433,0.331,0.1213,0.43383,0.409632146,0.44,0.456,0.472,0.488,0.504,0.52,0.536,0.552,0.568,0.584,0.6
AFS_FHA_QP..MAR,AFS,FHA,Aquaculture,QP,"AFS_OTHA_QP..MAR = OVERLAY(AFS_OTHA_QP..MAR..HIS,AFS_OTHA_QP*0.17)",Scalar TS,Numeric,1.017,0.806,0.912,0.75,1.174,1.246,1.458,1.647,2.379,2.718359653,2.89,2.975,3.06,3.145,3.23,3.315,3.4,3.485,3.57,3.655,3.74
AFS_FHC_QP..MAR,AFS,FHC,Capture,QP,"AFS_FHC_QP..MAR = OVERLAY(AFS_FHC_QP..MAR..HIS,AFS_FHC_QP*FHCQPADJ*MIN(0.98,
0.318+0.01*(49+(TRND-49)/2)))",Scalar TS,Numeric,1003.85,1055.831,1146.706,1133.817,1089.55,1244.109,1289.691,1375.185,1409.661,1414.48948,1415.14,1432.02,1434.924,1451.8357,1483.26,1500.54,1517.92,1537.106,1553.299176,1569.534648,1585.811696
AFS_OTHA_QP..MAR,AFS,OTHA,Aquaculture,QP,"AFS_OTHA_QP..MAR = OVERLAY(AFS_OTHA_QP..MAR..HIS,AFS_OTHA_QP*0.17)",Scalar TS,Numeric,1.017,0.806,0.912,0.75,1.174,1.246,1.458,1.647,2.379,2.718359653,2.89,2.975,3.06,3.145,3.23,3.315,3.4,3.485,3.57,3.655,3.74
ANL_FHA_QP..MAR,ANL,FHA,Aquaculture,QP,ANL_FHA_QP..MAR = TRND*0,Scalar TS,Numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANL_FHC_QP..MAR,ANL,FHC,Capture,QP,"ANL_FHC_QP..MAR = OVERLAY(ANL_FHC_QP..MAR..HIS,ANL_FHC_QP*FHCQPADJ*MIN(0.98,
0.03+0.018801*(49+(TRND-49)/4)))",Scalar TS,Numeric,266.588,362.011,427.709,376.833,366.339,390.525,597.254,782.886,955.748,968.1294181,821.3553225,830.200785,839.09325,848.0327175,857.0191875,862.4,867.3,872.2,875.3458,878.472,881.5786
ARG_FHA_QP..MAR,ARG,FHA,Aquaculture,QP,"ARG_FHA_QP..MAR = OVERLAY(ARG_FHA_QP..MAR..HIS,0.004*ARG_FHA_QP)",Scalar TS,Numeric,0.223,0.368,0.095,0.042,0.014,0.05,0.047,0.022,0.014,0.0124,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
ARG_FHC_QP..MAR,ARG,FHC,Capture,QP,"ARG_FHC_QP..MAR = OVERLAY(ARG_FHC_QP..MAR..HIS,ARG_FHC_
QP*(TRND*0+0.98*FHCQPADJ))",Scalar TS,Numeric,796.304,775.01,723.737,858.422,815.355,795.415,736.337,813.007,815.187,808.5,818.006,819.28,828.786,846.622,856.226,860.146,863.968,867.79,869.96658,872.029872,874.077876
ASA_DEMA_QP,ASA,DEMA,Aquaculture,QP,,Scalar TS,Numeric,18.09105,21.50946,31.67293,42.0386,50.34396,46.31163,36.40649,44.87721,44.77237,44.7,48.2610316,51.99691966,54.98267939,57.80470817,59.94550234,61.67889307,62.69486953,62.64588513,62.21254917,61.58202089,60.90067279
