"iso3c","year","genus_cat","scientific_name","common_name","Genus","Family","Order","production_sector","Production_area","tonnes","spp_prop"
"ABW","2014","Aquatic Animals; Others","echinodermata","echinoderms",NA,NA,NA,"import","Marine areas",0.109496644781285,3.27617185516048e-05
"ABW","2014","Aquatic Animals; Others","polychaeta","marine worms",NA,NA,NA,"import","Marine areas",34.8199330404487,0.0104182264994104
"ABW","2014","Cephalopods","octopodidae","octopuses, etc. nei",NA,"octopodidae","octopoda","import","Marine areas",45.4182289758582,0.0135892678519199
"ABW","2014","Crustaceans","decapoda","marine crabs nei",NA,NA,"decapoda","import","Marine areas",8.17363622139208,0.00244557602621828
"ABW","2014","Crustaceans","penaeus","penaeus shrimps nei","penaeus","penaeidae","decapoda","import","Marine areas",14.1528086590816,0.00423456202634985
"ABW","2014","Demersal Fish","acanthuridae","surgeonfishes nei",NA,"acanthuridae","perciformes","import","Marine areas",0.029993394050591,8.97411182101163e-06
"ABW","2014","Demersal Fish","alopias vulpinus","thresher","alopias","alopiidae","lamniformes","import","Marine areas",0.0474219878907993,1.41887984197076e-05
"ABW","2014","Demersal Fish","ammodytes","sandeels(=sandlances) nei","ammodytes","ammodytidae","perciformes","import","Marine areas",0.0366654534373253,1.09704116366307e-05
"ABW","2014","Demersal Fish","anoplopoma fimbria","sablefish","anoplopoma","anoplopomatidae","scorpaeniformes","import","Marine areas",12.7693181586851,0.00382061759468854
"ABW","2014","Demersal Fish","aprion virescens","green jobfish","aprion","lutjanidae","perciformes","import","Marine areas",0.0170232777043895,5.09341481733094e-06
"ABW","2014","Demersal Fish","archosargus probatocephalus","sheepshead","archosargus","sparidae","perciformes","import","Marine areas",0.23954183626891,7.16716227867281e-05
"ABW","2014","Demersal Fish","argentina silus","greater argentine","argentina","argentinidae","osmeriformes","import","Marine areas",0.201895444103321,6.04077113940462e-05
"ABW","2014","Demersal Fish","argentina sphyraena","argentine","argentina","argentinidae","osmeriformes","import","Marine areas",0.187983321064268,5.62451632139522e-05
"ABW","2014","Demersal Fish","atheresthes stomias","arrowtooth flounder","atheresthes","pleuronectidae","pleuronectiformes","import","Marine areas",15.0724911426936,0.00450973373362107
"ABW","2014","Demersal Fish","atractoscion nobilis","white weakfish","atractoscion","sciaenidae","perciformes","import","Marine areas",0.0729569044473835,2.1828920645704e-05
"ABW","2014","Demersal Fish","balistidae","triggerfishes, durgons nei",NA,"balistidae","tetraodontiformes","import","Marine areas",0.0936280273741419,2.801378149532e-05
"ABW","2014","Demersal Fish","batrachoididae","toadfishes, etc. nei",NA,"batrachoididae","batrachoidiformes","import","Marine areas",0.00891695498801357,2.66797919003049e-06
