"species","kingdom","phylum","class","order","family","genus","taxa_id","taxa_db","alt.scinames","GBD.Macro","GBD.Sub","Country.ISO3","FishBase.SAU.Code","ISSCAAP","FAO.Taxon.Code","FAO.3A_CODE","Original.FCT.Food.Code","Food.name.in.English","Food.Name.in.Original.Language","Processing","Preparation","Wild.Farmed","Parts","Component.name","variable","value"
"Wallago attu","Metazoa","Chordata","Actinopteri","Siluriformes","Siluridae","Wallago",36718,"ncbi",NA,NA,NA,"IND",NA,NA,NA,NA,NA,"shark",NA,NA,"frozen","unknown","f",NA,"Omega-3 fatty acids",59.8
"Sphyraena jello","Metazoa","Chordata","Actinopteri",NA,"Sphyraenidae","Sphyraena",445362,"ncbi",NA,NA,NA,"IND",NA,NA,NA,NA,NA,"Barracuda",NA,NA,"frozen","unknown","f",NA,"Omega-3 fatty acids",58.1
"Siganus lineatus","Metazoa","Chordata","Actinopteri",NA,"Siganidae","Siganus",406535,"ncbi",NA,NA,NA,"IND",NA,NA,NA,NA,NA,"rabbitfish",NA,NA,"frozen","unknown","f",NA,"Omega-3 fatty acids",56.2
"Merlangius merlangus","Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Merlangius",8058,"ncbi",NA,NA,NA,"GRC",NA,NA,NA,NA,NA,"Whiting",NA,NA,"raw","wild","e",NA,"Omega-3 fatty acids",49
"Rastrelliger kanagurta","Metazoa","Chordata","Actinopteri","Scombriformes","Scombridae","Rastrelliger",70446,"ncbi",NA,NA,NA,"IND",NA,NA,NA,NA,NA,"indian mackerel",NA,NA,"frozen","unknown","f",NA,"Omega-3 fatty acids",47.8
"Tenualosa toli","Metazoa","Chordata","Actinopteri","Clupeiformes","Clupeidae","Tenualosa",445363,"ncbi",NA,NA,NA,"IND",NA,NA,NA,NA,NA,"pony fish",NA,NA,"frozen","unknown","f",NA,"Omega-3 fatty acids",46.7
"Seriola quinqueradiata","Metazoa","Chordata","Actinopteri","Carangiformes","Carangidae","Seriola",8161,"ncbi",NA,NA,NA,"JPN",NA,NA,NA,NA,NA,"yellow tail",NA,NA,"frozen","unknown","f",NA,"Omega-3 fatty acids",45.01
"Trachurus japonicus","Metazoa","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus",83875,"ncbi",NA,NA,NA,"JPN",NA,NA,NA,NA,NA,"horse mackerel",NA,NA,"frozen","unknown","f",NA,"Omega-3 fatty acids",42.9
"Oncorhychus masou",NA,NA,NA,NA,NA,"Oncorhychus",NA,NA,NA,NA,NA,"JPN",NA,NA,NA,NA,NA,"salmon",NA,NA,"frozen","unknown","f",NA,"Omega-3 fatty acids",42.41
"Paralichthys olivaceus","Metazoa","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys",8255,"ncbi",NA,NA,NA,"JPN",NA,NA,NA,NA,NA,"japanese halibut",NA,NA,"frozen","unknown","f",NA,"Omega-3 fatty acids",41.17
